id,name,breed,age,route,weight_lbs,pack_capacity_lbs,trips_completed,certification_level,years_experience,health_score,temperament,last_trip_date,days_rested,preferred_terrain,daily_rate,total_revenue_ytd,customer_rating,maintenance_cost_ytd,miles_ytd,elevation_gain_ytd
168,Vulture,Kiko,5,3,187,51,173,Expert,4,7,Rugged,2026-01-25,3,Alpine,53,2332,4.8,522,1038,93420
169,Owl,Kiko,4,3,167,46,124,Advanced,3,8,Independent,2026-01-27,1,Alpine,45,1800,4.6,450,744,66960
170,Nighthawk,Kiko,5,3,182,50,168,Expert,4,7,Rugged,2026-01-24,4,Alpine,52,2288,4.4,510,1008,90720
171,Midnight,Kiko,4,3,170,46,126,Advanced,3,8,Independent,2026-01-28,0,Alpine,45,1845,4.7,455,756,68040
172,Twilight,Kiko,5,3,185,51,171,Expert,4,8,Rugged,2026-01-26,2,Alpine,53,2279,4.5,518,1026,92340
173,Dusk,Kiko,4,3,169,46,125,Advanced,3,9,Independent,2026-01-25,3,Alpine,45,1845,4.8,453,750,67500
174,Dawn,Kiko,5,3,183,50,169,Expert,4,7,Rugged,2026-01-27,1,Alpine,52,2288,4.6,512,1014,91260
175,Eclipse,Kiko,4,3,173,47,128,Advanced,3,8,Independent,2026-01-24,4,Alpine,46,1886,4.4,460,768,69120
176,Solstice,Kiko,5,3,186,51,172,Expert,4,7,Rugged,2026-01-28,0,Alpine,53,2332,4.7,520,1032,92880
177,Equinox,Kiko,4,3,168,46,124,Advanced,3,8,Independent,2026-01-26,2,Alpine,45,1800,4.5,452,744,66960
178,Nebula,Kiko,5,3,184,50,170,Expert,4,8,Rugged,2026-01-25,3,Alpine,52,2288,4.8,515,1020,91800
179,Galaxy,Kiko,4,3,172,47,127,Advanced,3,9,Independent,2026-01-27,1,Alpine,46,1886,4.6,458,762,68580
180,Cosmos,Kiko,5,3,188,52,175,Expert,4,7,Rugged,2026-01-24,4,Alpine,54,2376,4.4,525,1050,94500
181,Pepper,Nigerian Dwarf,1,1,55,14,15,Beginner,0,10,Friendly,2026-01-28,0,Valley,18,252,4.5,220,60,3000
182,Salt,Nigerian Dwarf,2,1,62,16,38,Intermediate,1,9,Playful,2026-01-26,2,Valley,22,616,4.6,250,152,7600
183,Cinnamon,Nigerian Dwarf,1,1,58,15,18,Beginner,0,10,Friendly,2026-01-25,3,Valley,19,304,4.4,228,72,3600
184,Nutmeg,Nigerian Dwarf,2,1,65,17,42,Intermediate,1,9,Playful,2026-01-27,1,Valley,23,690,4.7,258,168,8400
185,Ginger,Nigerian Dwarf,1,1,54,14,14,Beginner,0,10,Friendly,2026-01-24,4,Valley,17,238,4.3,218,56,2800
186,Clove,Nigerian Dwarf,2,1,60,15,36,Intermediate,1,9,Playful,2026-01-28,0,Valley,21,567,4.8,245,144,7200
187,Basil2,Nigerian Dwarf,1,1,57,14,17,Beginner,0,10,Friendly,2026-01-26,2,Valley,18,288,4.5,225,68,3400
188,Oregano,Nigerian Dwarf,2,1,64,16,40,Intermediate,1,9,Playful,2026-01-25,3,Valley,22,660,4.6,255,160,8000
189,Rosemary2,Nigerian Dwarf,1,1,56,14,16,Beginner,0,10,Friendly,2026-01-27,1,Valley,18,270,4.4,222,64,3200
190,Thyme2,Nigerian Dwarf,2,1,63,16,39,Intermediate,1,10,Playful,2026-01-24,4,Valley,22,638,4.9,252,156,7800
191,Sage2,Nigerian Dwarf,1,1,55,14,15,Beginner,0,10,Friendly,2026-01-28,0,Valley,18,252,4.7,220,60,3000
192,Mint2,Nigerian Dwarf,2,1,61,16,37,Intermediate,1,9,Playful,2026-01-26,2,Valley,21,588,4.5,248,148,7400
193,Parsley2,Nigerian Dwarf,1,1,58,15,18,Beginner,0,10,Friendly,2026-01-25,3,Valley,19,304,4.8,228,72,3600
194,Cilantro,Nigerian Dwarf,2,1,66,17,44,Intermediate,1,9,Playful,2026-01-27,1,Valley,23,736,4.6,262,176,8800
195,Dill,Nigerian Dwarf,1,1,54,14,14,Beginner,0,10,Friendly,2026-01-24,4,Valley,17,238,4.4,218,56,2800
196,Fennel,Nigerian Dwarf,2,1,62,16,38,Intermediate,1,9,Playful,2026-01-28,0,Valley,22,616,4.7,250,152,7600
197,Anise,Nigerian Dwarf,1,1,57,14,17,Beginner,0,10,Friendly,2026-01-26,2,Valley,18,288,4.5,225,68,3400
198,Cumin,Nigerian Dwarf,2,1,64,16,41,Intermediate,1,9,Playful,2026-01-25,3,Valley,22,682,4.8,256,164,8200
199,Cardamom,Nigerian Dwarf,1,1,56,14,16,Beginner,0,10,Friendly,2026-01-27,1,Valley,18,270,4.6,222,64,3200
200,Saffron,Nigerian Dwarf,2,1,63,16,39,Intermediate,1,10,Playful,2026-01-24,4,Valley,22,638,4.4,252,156,7800
201,Turmeric,Nigerian Dwarf,1,1,55,14,15,Beginner,0,10,Friendly,2026-01-28,0,Valley,18,252,4.7,220,60,3000
202,Paprika,Nigerian Dwarf,2,1,61,16,37,Intermediate,1,9,Playful,2026-01-26,2,Valley,21,588,4.5,248,148,7400
203,Cayenne,Nigerian Dwarf,1,1,58,15,18,Beginner,0,10,Friendly,2026-01-25,3,Valley,19,304,4.8,228,72,3600
204,Chili,Nigerian Dwarf,2,1,65,17,42,Intermediate,1,9,Playful,2026-01-27,1,Valley,23,690,4.6,258,168,8400
205,Curry,Nigerian Dwarf,1,1,54,14,14,Beginner,0,10,Friendly,2026-01-24,4,Valley,17,238,4.4,218,56,2800
206,Masala,Nigerian Dwarf,2,1,60,15,36,Intermediate,1,9,Playful,2026-01-28,0,Valley,21,567,4.7,245,144,7200
207,Wasabi,Nigerian Dwarf,1,1,57,14,17,Beginner,0,10,Friendly,2026-01-26,2,Valley,18,288,4.5,225,68,3400
208,Sriracha,Nigerian Dwarf,2,1,64,16,40,Intermediate,1,9,Playful,2026-01-25,3,Valley,22,660,4.8,255,160,8000
209,Tabasco,Nigerian Dwarf,1,1,56,14,16,Beginner,0,10,Friendly,2026-01-27,1,Valley,18,270,4.6,222,64,3200
210,Habanero,Nigerian Dwarf,2,1,63,16,39,Intermediate,1,10,Playful,2026-01-24,4,Valley,22,638,4.4,252,156,7800
211,Amber,Oberhasli,5,3,142,39,158,Expert,4,7,Alert,2026-01-28,0,Alpine,48,2016,4.6,440,948,85320
212,Topaz,Oberhasli,6,3,148,41,195,Expert,5,6,Mature,2026-01-26,2,Alpine,52,2496,4.5,490,1170,105300
213,Ruby2,Oberhasli,5,3,140,38,155,Expert,4,7,Alert,2026-01-25,3,Alpine,47,1927,4.8,435,930,83700
214,Emerald,Oberhasli,6,3,146,40,190,Expert,5,6,Mature,2026-01-27,1,Alpine,51,2397,4.6,485,1140,102600
215,Sapphire,Oberhasli,5,3,144,40,160,Expert,4,8,Alert,2026-01-24,4,Alpine,49,2058,4.4,445,960,86400
216,Diamond,Oberhasli,6,3,150,42,200,Expert,5,7,Mature,2026-01-28,0,Alpine,54,2646,4.7,500,1200,108000
217,Pearl,Oberhasli,5,3,138,38,152,Expert,4,7,Alert,2026-01-26,2,Alpine,46,1840,4.5,430,912,82080
218,Opal,Oberhasli,6,3,147,41,192,Expert,5,6,Mature,2026-01-25,3,Alpine,51,2397,4.8,488,1152,103680
219,Jade,Oberhasli,5,3,143,39,158,Expert,4,7,Alert,2026-01-27,1,Alpine,48,2016,4.6,442,948,85320
220,Onyx,Oberhasli,6,3,149,41,198,Expert,5,6,Mature,2026-01-24,4,Alpine,53,2597,4.4,495,1188,106920
221,Garnet,Oberhasli,5,3,141,39,156,Expert,4,8,Alert,2026-01-28,0,Alpine,47,1974,4.7,438,936,84240
222,Amethyst,Oberhasli,6,3,148,41,194,Expert,5,7,Mature,2026-01-26,2,Alpine,52,2496,4.5,490,1164,104760
223,Citrine,Oberhasli,5,3,139,38,153,Expert,4,7,Alert,2026-01-25,3,Alpine,46,1886,4.8,432,918,82620
224,Peridot,Oberhasli,6,3,146,40,191,Expert,5,6,Mature,2026-01-27,1,Alpine,51,2397,4.6,486,1146,103140
225,Aquamarine,Oberhasli,5,3,144,40,159,Expert,4,7,Alert,2026-01-24,4,Alpine,49,2009,4.4,444,954,85860
226,Turquoise,Oberhasli,6,3,150,42,199,Expert,5,6,Mature,2026-01-28,0,Alpine,54,2646,4.7,498,1194,107460
227,Coral,Oberhasli,5,3,140,38,154,Expert,4,8,Alert,2026-01-26,2,Alpine,47,1880,4.5,436,924,83160
228,Jasper,Oberhasli,6,3,147,41,193,Expert,5,7,Mature,2026-01-25,3,Alpine,51,2448,4.8,488,1158,104220
229,Quartz,Oberhasli,5,3,142,39,157,Expert,4,7,Alert,2026-01-27,1,Alpine,48,2016,4.6,440,942,84780
230,Crystal,Oberhasli,6,3,149,41,197,Expert,5,6,Mature,2026-01-24,4,Alpine,53,2597,4.4,494,1182,106380
231,Beryl,Oberhasli,5,3,138,38,151,Expert,4,7,Alert,2026-01-28,0,Alpine,46,1794,4.7,428,906,81540
232,Zircon,Oberhasli,6,3,148,41,195,Expert,5,6,Mature,2026-01-26,2,Alpine,52,2496,4.5,490,1170,105300
233,Agate,Oberhasli,5,3,143,39,158,Expert,4,8,Alert,2026-01-25,3,Alpine,48,2016,4.8,442,948,85320
234,Moonstone,Oberhasli,6,3,146,40,190,Expert,5,7,Mature,2026-01-27,1,Alpine,51,2397,4.6,485,1140,102600
235,Sunstone,Oberhasli,5,3,141,39,155,Expert,4,7,Alert,2026-01-24,4,Alpine,47,1927,4.4,435,930,83700
236,Bloodstone,Oberhasli,6,3,150,42,200,Expert,5,6,Mature,2026-01-28,0,Alpine,54,2646,4.7,500,1200,108000
237,Lapis,Oberhasli,5,3,139,38,152,Expert,4,7,Alert,2026-01-26,2,Alpine,46,1840,4.5,430,912,82080
238,Malachite,Oberhasli,6,3,147,41,192,Expert,5,6,Mature,2026-01-25,3,Alpine,51,2397,4.8,488,1152,103680
239,Azurite,Oberhasli,5,3,144,40,159,Expert,4,8,Alert,2026-01-27,1,Alpine,49,2009,4.6,444,954,85860
240,Obsidian,Oberhasli,6,3,149,41,198,Expert,5,7,Mature,2026-01-24,4,Alpine,53,2597,4.4,495,1188,106920
241,Copper,Toggenburg,3,2,145,40,85,Advanced,2,8,Calm,2026-01-28,0,Mountain,38,1406,4.6,390,425,31875
242,Bronze,Toggenburg,4,2,158,44,120,Advanced,3,8,Methodical,2026-01-26,2,Mountain,44,1760,4.5,430,600,45000
243,Silver,Toggenburg,3,2,148,41,88,Advanced,2,9,Calm,2026-01-25,3,Mountain,39,1443,4.8,398,440,33000
244,Gold,Toggenburg,4,2,162,45,125,Advanced,3,9,Methodical,2026-01-27,1,Mountain,45,1845,4.6,438,625,46875
245,Platinum,Toggenburg,3,2,142,39,82,Advanced,2,8,Calm,2026-01-24,4,Mountain,37,1332,4.4,385,410,30750
246,Titanium,Toggenburg,4,2,155,43,118,Advanced,3,8,Methodical,2026-01-28,0,Mountain,43,1677,4.7,425,590,44250
247,Steel,Toggenburg,3,2,146,40,86,Advanced,2,8,Calm,2026-01-26,2,Mountain,38,1406,4.5,392,430,32250
248,Iron,Toggenburg,4,2,160,44,122,Advanced,3,8,Methodical,2026-01-25,3,Mountain,44,1760,4.8,432,610,45750
249,Nickel,Toggenburg,3,2,150,41,90,Advanced,2,9,Calm,2026-01-27,1,Mountain,40,1480,4.6,402,450,33750
250,Zinc,Toggenburg,4,2,164,46,128,Advanced,3,9,Methodical,2026-01-24,4,Mountain,46,1886,4.4,442,640,48000
251,Tin,Toggenburg,3,2,143,39,83,Advanced,2,8,Calm,2026-01-28,0,Mountain,37,1332,4.7,388,415,31125
252,Lead,Toggenburg,4,2,156,43,119,Advanced,3,8,Methodical,2026-01-26,2,Mountain,43,1677,4.5,428,595,44625
253,Mercury,Toggenburg,3,2,147,40,87,Advanced,2,8,Calm,2026-01-25,3,Mountain,39,1443,4.8,395,435,32625
254,Cobalt,Toggenburg,4,2,161,45,123,Advanced,3,8,Methodical,2026-01-27,1,Mountain,45,1800,4.6,435,615,46125
255,Chrome,Toggenburg,3,2,144,40,84,Advanced,2,9,Calm,2026-01-24,4,Mountain,38,1368,4.4,390,420,31500
256,Brass,Toggenburg,4,2,158,44,121,Advanced,3,9,Methodical,2026-01-28,0,Mountain,44,1760,4.7,430,605,45375
257,Pewter,Toggenburg,3,2,149,41,89,Advanced,2,8,Calm,2026-01-26,2,Mountain,40,1440,4.5,400,445,33375
258,Aluminum,Toggenburg,4,2,163,45,126,Advanced,3,8,Methodical,2026-01-25,3,Mountain,45,1845,4.8,440,630,47250
259,Magnesium,Toggenburg,3,2,141,39,81,Advanced,2,8,Calm,2026-01-27,1,Mountain,36,1296,4.6,382,405,30375
260,Calcium,Toggenburg,4,2,154,43,117,Advanced,3,8,Methodical,2026-01-24,4,Mountain,42,1638,4.4,422,585,43875
261,Sodium,Toggenburg,3,2,148,41,88,Advanced,2,9,Calm,2026-01-28,0,Mountain,39,1443,4.7,398,440,33000
262,Potassium,Toggenburg,4,2,162,45,124,Advanced,3,9,Methodical,2026-01-26,2,Mountain,45,1800,4.5,438,620,46500
263,Lithium,Toggenburg,3,2,145,40,85,Advanced,2,8,Calm,2026-01-25,3,Mountain,38,1406,4.8,392,425,31875
264,Beryllium,Toggenburg,4,2,159,44,121,Advanced,3,8,Methodical,2026-01-27,1,Mountain,44,1760,4.6,432,605,45375
265,Radium,Toggenburg,3,2,143,39,83,Advanced,2,8,Calm,2026-01-24,4,Mountain,37,1332,4.4,388,415,31125
266,Uranium,Toggenburg,4,2,157,43,120,Advanced,3,8,Methodical,2026-01-28,0,Mountain,43,1720,4.7,428,600,45000
267,Plutonium,Toggenburg,3,2,150,41,90,Advanced,2,9,Calm,2026-01-26,2,Mountain,40,1480,4.5,402,450,33750
268,Thorium,Toggenburg,4,2,165,46,129,Advanced,3,9,Methodical,2026-01-25,3,Mountain,46,1932,4.8,445,645,48375
269,Radon,Toggenburg,3,2,144,40,84,Advanced,2,8,Calm,2026-01-27,1,Mountain,38,1368,4.6,390,420,31500
270,Xenon,Toggenburg,4,2,160,44,122,Advanced,3,8,Methodical,2026-01-24,4,Mountain,44,1760,4.4,432,610,45750
271,Blizzard,Angora,5,3,128,35,155,Expert,4,7,Hardy,2026-01-28,0,Alpine,46,1886,4.6,420,930,83700
272,Avalanche,Angora,6,3,138,38,192,Expert,5,6,Cold-tolerant,2026-01-26,2,Alpine,52,2444,4.5,470,1152,103680
273,Glacier,Angora,5,3,125,34,150,Expert,4,7,Hardy,2026-01-25,3,Alpine,45,1800,4.8,415,900,81000
274,Iceberg,Angora,6,3,135,37,188,Expert,5,6,Cold-tolerant,2026-01-27,1,Alpine,50,2350,4.6,465,1128,101520
275,Frost,Angora,5,3,130,36,158,Expert,4,8,Hardy,2026-01-24,4,Alpine,47,1974,4.4,425,948,85320
276,Winter,Angora,6,3,140,39,195,Expert,5,7,Cold-tolerant,2026-01-28,0,Alpine,53,2544,4.7,475,1170,105300
277,Snow,Angora,5,3,126,35,152,Expert,4,7,Hardy,2026-01-26,2,Alpine,45,1845,4.5,418,912,82080
278,Sleet,Angora,6,3,136,37,189,Expert,5,6,Cold-tolerant,2026-01-25,3,Alpine,50,2350,4.8,468,1134,102060
279,Hail,Angora,5,3,129,35,156,Expert,4,7,Hardy,2026-01-27,1,Alpine,46,1932,4.6,422,936,84240
280,Icicle,Angora,6,3,139,38,193,Expert,5,6,Cold-tolerant,2026-01-24,4,Alpine,52,2496,4.4,472,1158,104220
281,Tundra,Angora,5,3,127,35,153,Expert,4,8,Hardy,2026-01-28,0,Alpine,46,1886,4.7,420,918,82620
282,Arctic,Angora,6,3,137,38,190,Expert,5,7,Cold-tolerant,2026-01-26,2,Alpine,51,2397,4.5,470,1140,102600
283,Polar,Angora,5,3,131,36,159,Expert,4,7,Hardy,2026-01-25,3,Alpine,47,1974,4.8,428,954,85860
284,Boreal,Angora,6,3,141,39,196,Expert,5,6,Cold-tolerant,2026-01-27,1,Alpine,53,2544,4.6,478,1176,105840
285,Alpine2,Angora,5,3,124,34,148,Expert,4,7,Hardy,2026-01-24,4,Alpine,44,1760,4.4,412,888,79920
286,Summit2,Angora,6,3,134,37,186,Expert,5,6,Cold-tolerant,2026-01-28,0,Alpine,49,2254,4.7,462,1116,100440
287,Everest,Angora,5,3,132,36,160,Expert,4,8,Hardy,2026-01-26,2,Alpine,48,2016,4.5,430,960,86400
288,Kilimanjaro,Angora,6,3,142,39,198,Expert,5,7,Cold-tolerant,2026-01-25,3,Alpine,54,2646,4.9,480,1188,106920
289,Denali,Angora,5,3,128,35,155,Expert,4,7,Hardy,2026-01-27,1,Alpine,46,1886,4.6,420,930,83700
290,Rainier,Angora,6,3,138,38,192,Expert,5,6,Cold-tolerant,2026-01-24,4,Alpine,52,2444,4.4,470,1152,103680
291,Shasta,Angora,5,3,125,34,150,Expert,4,7,Hardy,2026-01-28,0,Alpine,45,1800,4.7,415,900,81000
292,Hood,Angora,6,3,135,37,188,Expert,5,6,Cold-tolerant,2026-01-26,2,Alpine,50,2350,4.5,465,1128,101520
293,Whitney,Angora,5,3,130,36,157,Expert,4,8,Hardy,2026-01-25,3,Alpine,47,1927,4.8,425,942,84780
294,Elbert,Angora,6,3,140,39,194,Expert,5,7,Cold-tolerant,2026-01-27,1,Alpine,53,2491,4.6,475,1164,104760
295,Massive,Angora,5,3,133,37,162,Expert,4,7,Hardy,2026-01-24,4,Alpine,48,2064,4.4,432,972,87480
296,Harvard,Angora,6,3,143,40,200,Expert,5,6,Cold-tolerant,2026-01-28,0,Alpine,55,2750,4.7,485,1200,108000
297,Yale,Angora,5,3,126,35,151,Expert,4,7,Hardy,2026-01-26,2,Alpine,45,1845,4.5,418,906,81540
298,Princeton,Angora,6,3,136,37,189,Expert,5,6,Cold-tolerant,2026-01-25,3,Alpine,50,2350,4.8,468,1134,102060
299,Columbia,Angora,5,3,129,35,156,Expert,4,8,Hardy,2026-01-27,1,Alpine,46,1932,4.6,422,936,84240
300,Oxford,Angora,6,3,139,38,193,Expert,5,7,Cold-tolerant,2026-01-24,4,Alpine,52,2496,4.4,472,1158,104220
301,Sunny,Alpine,2,1,140,37,42,Intermediate,1,9,Friendly,2026-01-28,0,Valley,27,810,4.7,315,168,8400
302,Bright,Alpine,3,1,152,41,84,Advanced,2,8,Calm,2026-01-26,2,Valley,34,1156,4.5,368,336,16800
303,Cheerful,Alpine,2,1,138,36,40,Intermediate,1,10,Friendly,2026-01-25,3,Valley,26,780,4.8,310,160,8000
304,Happy,Alpine,3,1,154,42,88,Advanced,2,9,Calm,2026-01-27,1,Valley,35,1225,4.6,375,352,17600
305,Joyful,Alpine,2,1,142,38,44,Intermediate,1,9,Friendly,2026-01-24,4,Valley,28,812,4.4,320,176,8800
306,Merry,Alpine,3,1,150,40,80,Advanced,2,8,Calm,2026-01-28,0,Valley,33,1056,4.7,360,320,16000
307,Jolly,Alpine,2,1,136,36,38,Intermediate,1,9,Friendly,2026-01-26,2,Valley,25,750,4.5,305,152,7600
308,Gleeful,Alpine,3,1,156,42,90,Advanced,2,8,Calm,2026-01-25,3,Valley,36,1260,4.8,378,360,18000
309,Blissful,Alpine,2,1,144,39,46,Intermediate,1,10,Friendly,2026-01-27,1,Valley,29,841,4.6,325,184,9200
310,Delighted,Alpine,3,1,148,40,78,Advanced,2,9,Calm,2026-01-24,4,Valley,32,1024,4.4,355,312,15600
311,Pleased,Alpine,2,1,139,37,41,Intermediate,1,9,Friendly,2026-01-28,0,Valley,26,780,4.7,312,164,8200
312,Content,Alpine,3,1,153,41,86,Advanced,2,8,Calm,2026-01-26,2,Valley,35,1190,4.5,372,344,17200
313,Satisfied,Alpine,2,1,141,38,43,Intermediate,1,9,Friendly,2026-01-25,3,Valley,27,810,4.8,318,172,8600
314,Grateful,Alpine,3,1,155,42,89,Advanced,2,8,Calm,2026-01-27,1,Valley,35,1225,4.6,376,356,17800
315,Thankful,Alpine,2,1,137,36,39,Intermediate,1,10,Friendly,2026-01-24,4,Valley,25,750,4.4,308,156,7800
316,Blessed,Alpine,3,1,151,41,82,Advanced,2,9,Calm,2026-01-28,0,Valley,34,1088,4.7,365,328,16400
317,Lucky,Alpine,2,1,143,38,45,Intermediate,1,9,Friendly,2026-01-26,2,Valley,28,840,4.5,322,180,9000
318,Fortunate,Alpine,3,1,157,43,92,Advanced,2,8,Calm,2026-01-25,3,Valley,36,1296,4.8,380,368,18400
319,Charmed,Alpine,2,1,135,36,37,Intermediate,1,9,Friendly,2026-01-27,1,Valley,24,720,4.6,302,148,7400
320,Favored,Alpine,3,1,149,40,79,Advanced,2,8,Calm,2026-01-24,4,Valley,33,1023,4.4,358,316,15800
321,Chosen,Alpine,2,1,145,39,47,Intermediate,1,10,Friendly,2026-01-28,0,Valley,29,870,4.7,328,188,9400
322,Special,Alpine,3,1,154,42,87,Advanced,2,9,Calm,2026-01-26,2,Valley,35,1225,4.5,374,348,17400
323,Unique,Alpine,2,1,138,37,40,Intermediate,1,9,Friendly,2026-01-25,3,Valley,26,780,4.8,310,160,8000
324,Rare,Alpine,3,1,156,42,91,Advanced,2,8,Calm,2026-01-27,1,Valley,36,1296,4.6,378,364,18200
325,Precious,Alpine,2,1,142,38,44,Intermediate,1,9,Friendly,2026-01-24,4,Valley,28,812,4.4,320,176,8800
326,Treasure,Alpine,3,1,150,40,81,Advanced,2,8,Calm,2026-01-28,0,Valley,33,1089,4.7,362,324,16200
327,Jewel,Alpine,2,1,136,36,38,Intermediate,1,10,Friendly,2026-01-26,2,Valley,25,750,4.5,305,152,7600
328,Gem,Alpine,3,1,158,43,93,Advanced,2,9,Calm,2026-01-25,3,Valley,37,1332,4.8,382,372,18600
329,Prize,Alpine,2,1,144,39,46,Intermediate,1,9,Friendly,2026-01-27,1,Valley,29,841,4.6,325,184,9200
330,Trophy,Alpine,3,1,152,41,85,Advanced,2,8,Calm,2026-01-24,4,Valley,34,1156,4.4,370,340,17000
331,Medal,Alpine,2,1,139,37,41,Intermediate,1,9,Friendly,2026-01-28,0,Valley,26,780,4.7,312,164,8200
